,title,subtitle,link
45,YOU'LL NEVER GUESS,Premier League icon looks unrecognisable in bearded disguise at Anfield,https://www.thesun.co.uk/sport/22542167/man-utd-gary-neville-unrecognisable-bearded-disguise-anfield/
46,ANTI-ANGE,Spurs fans launch 'no to Postecoglou' campaign & Celtic fans make feelings clear,https://www.thesun.co.uk/sport/football/22536917/tottenham-celtic-ange-postecoglou-twitter-campaign/
47,BEST OF HAAL,"I played with Cantona, Lineker & Zola… here’s why Haaland is BETTER than them",https://www.thesun.co.uk/sport/22539163/erling-haaland-mark-hughes-man-city-praise/
48,KAI BYE,Rangers youngster linked with Man City and Bayern Munich quits Ibrox for free,https://www.thesun.co.uk/sport/football/22554167/rangers-kai-kennedy-bayern-munich-manchester-city/
49,AV-ING A LAUGH!,Man Utd fans say 'no way this is real' as Glazer commits huge football sin,https://www.thesun.co.uk/sport/22551790/man-utd-fans-avram-glazer-commits-football-sin-liverpool/
50,MIK TAKE,Antonio says West Ham flop 'not a fighter' as he reveals star will NEVER fit in,https://www.thesun.co.uk/sport/22538299/michail-antonio-west-ham-transfer-gianluca-scamacca/
51,SP£CIAL BRU,Bruno to snub THREE Euro giants to become Newcastle's highest-paid star ever,https://www.thesun.co.uk/sport/22533022/newcastle-bruno-guimaraes-liverpool-barcelona-real-madrid-transfer/
52,OPTIONS MOUNT,Three ways Mason Mount could fit into Man Utd line-up as he ‘agrees terms’,https://www.thesun.co.uk/sport/22546083/mason-mount-transfer-chelsea-man-utd-lineup/
53,MUAN UNITED,Man Utd 'in detailed transfer talks' for strikers Hojlund and Kolo Muani,https://www.thesun.co.uk/sport/22543020/man-utd-transfer-talks-strikers-hojlund-kolo-muani-kane/
54,TAM THE MAN,Abraham set to spark Premier League scramble with Roma forced to sell striker,https://www.thesun.co.uk/sport/22551337/tammy-abraham-premier-league-transfer-roma-chelsea/
55,PROWSE PROWL,James Ward-Prowse lined up for immediate Prem return as fourth club join chase,https://www.thesun.co.uk/sport/22543808/james-ward-prowse-southampton-transfer-wolves/
56,TRANSFER MASE,Chelsea star Mason Mount 'agrees contract' with Man Utd as he snubs Poch,https://www.thesun.co.uk/sport/22540182/mason-mount-manchester-united-chelsea-mauricio-pochettino/
57,UNITED LATEST,"Glazers to attend FA Cup final, Hojlund linked, Kane updates, Mount latest",https://www.thesun.co.uk/sport/22435954/man-utd-takeover-news-live-harry-kane-transfer-avram-glazer/
58,ARSENAL LIVE,"Xhaka said his 'goodbyes', Rice boost, Gnonto linked, Tierney's Prem switch",https://www.thesun.co.uk/sport/22225429/arsenal-transfer-news-live-declan-rice-xhaka-latest/
59,GO SALI GO,Arsenal shocked by Saliba’s wage demands and could be forced to sell star to PSG,https://www.thesun.co.uk/sport/22527011/arsenal-shocked-william-saliba-wage-demands-psg-transfer/
60,'ONE AND ONLY',West Ham to be serenaded by pop icon ahead of Europa Conference League final,https://www.thesun.co.uk/sport/22553333/west-ham-chesney-hawkes-europa-conference-league-fiorentina/
61,LOAN GOAL,Watch as Premier League flop finds his Sevilla loan was made permanent,https://www.thesun.co.uk/sport/22548604/premier-league-flop-sevilla-loan-transfer-permanent-nottingham-forest/
62,SO RO-MANTIC,Romeo Beckham's girlfriend Mia Regan stuns in bikini after engagement rumours,https://www.thesun.co.uk/sport/22539086/romeo-beckhams-mia-regan-engagement-rumours/
63,'MAMI TE AMO',Ex-Arsenal ace Torreira breaks down in tears as he pays tribute to late mum,https://www.thesun.co.uk/sport/22542282/arsenal-news-lucas-torreira-mother-tribute/
64,SPECIAL PUNISHMENT,Mourinho faces massive ban for X-rated Europa League final rant at ref,https://www.thesun.co.uk/sport/22544160/jose-mourinho-europa-league-final-ban-psg-job/
65,DAVE KIDD,Man City going to Luton's Kenilworth Road is what makes English football great,https://www.thesun.co.uk/sport/22515888/dave-kidd-luton-man-city-kenilworth-road/
66,TROY DEENEY,I'd rather be in Leeds or Leicester's shoes on final day than Everton's,https://www.thesun.co.uk/sport/22494780/leeds-leicester-everton-troy-deeney-premier-league-relegation/
67,KARREN BRADY,Racism directed at Vinicius has to STOP but Spanish football shows no appetite,https://www.thesun.co.uk/sport/22494276/racist-abuse-vinicius-jr-real-madrid-karren-brady/
68,WHEN IN ROME,Stunning Veronika Rajek wows in Italy-inspired outfit as she watches Roma game,https://www.thesun.co.uk/sport/22539625/veronika-rajek-roma-europa-league-final/
69,SHEAR CLASS,Shearer's daughter Hollie shows off beach body as she models outfits on holiday,https://www.thesun.co.uk/sport/22535819/alan-shearers-daughter-hollie-shows-off-her-beach-body-in-series-of-bikinis-as-she-models-outfits-on-holiday/
70,BEACH BALL,Alisha Lehmann shows bikini body on beach after wearing see-through outfit,https://www.thesun.co.uk/sport/22534840/aston-villa-alisha-lehmann-bikini-body/
