,title,subtitle,link
67,SERGIO SHOCK,Ramos to follow Messi out of PSG leaving the Spanish legend without a club,https://www.thesun.co.uk/sport/22564930/sergio-ramos-psg-transfer-exit/
68,LAS DANCE,How much Reynolds and McElhenney spent on Wrexham's wild Las Vegas trip revealed,https://www.thesun.co.uk/sport/22556114/ben-foster-wrexham-reynolds-mcelhenney-spent-vegas-trip/
69,MARK HALSEY,Mourinho should be banned for SIX games for X-rated tirade at ref Taylor,https://www.thesun.co.uk/sport/22552503/jose-mourinho-banned-x-rated-tirade-anthony-taylor/
70,IN THE DOCK,Sunderland star appears in court charged with rape and sexual assault,https://www.thesun.co.uk/sport/22554960/sunderland-jack-diamond-court-rape-sexual-assault/
71,PHIL BAD,Beckham sacks ex-Man Utd team-mate Phil Neville as Inter Miami boss after fan fury,https://www.thesun.co.uk/sport/22553480/phil-neville-inter-miami-david-beckham/
72,'ONE AND ONLY',West Ham to be serenaded by pop icon ahead of Europa Conference League final,https://www.thesun.co.uk/sport/22553333/west-ham-chesney-hawkes-europa-conference-league-fiorentina/
73,TROY DEENEY,I lost 6-0 to Man City in the FA Cup final and I fear for Man Utd at Wembley,https://www.thesun.co.uk/sport/22564147/troy-deeney-man-city-utd-fa-cup-final/
74,MARK IRWIN,Mourinho will love the fuss for his latest X-rated rant but irony is lost on him,https://www.thesun.co.uk/sport/22552767/jose-mourinho-roma-sevilla-europa-league-irwin-comment/
75,DAVE KIDD,Man City going to Luton's Kenilworth Road is what makes English football great,https://www.thesun.co.uk/sport/22515888/dave-kidd-luton-man-city-kenilworth-road/
76,CLAU BLIMEY,World's sexiest ref Claudia Romani risks red card as she strips to tiny dress,https://www.thesun.co.uk/sport/22557197/referee-claudia-romani-instagram-red-card/
77,ODE TO JOY,Martin Odegaard goes public with stunning dancer girlfriend who licks his face,https://www.thesun.co.uk/sport/22554752/martin-odegaard-arsenal-helene-spilling/
78,WHEN IN ROME,Stunning Veronika Rajek wows in Italy-inspired outfit as she watches Roma game,https://www.thesun.co.uk/sport/22539625/veronika-rajek-roma-europa-league-final/
